Option__c,Plain_Language_Summary__c,Typical_Cost__c,Zero_Cost__c,Precedent_Count__c,Source_URL__c
Captions turned on in all meetings,"Live captions on by default in every meeting, not on request.",0,true,0,https://askjan.org/topics/costs.cfm
Agenda sent before the meeting,Written agenda circulated ahead so nothing depends on catching it live.,0,true,0,https://askjan.org/topics/costs.cfm
Written follow-up after verbal instructions,Instructions confirmed in writing so nothing rests on one spoken pass.,0,true,0,https://askjan.org/topics/costs.cfm
Face the person when speaking,"Speak facing the person, one at a time, no covered mouth.",0,true,0,https://askjan.org/topics/costs.cfm
Text instead of phone for all contact,"Contact by message rather than voice call, including from HR.",0,true,0,https://askjan.org/topics/costs.cfm
Visual fire and safety alerts,"Strobe or vibrating alerts alongside audio alarms. Life-safety, not convenience.",,false,0,https://askjan.org/topics/costs.cfm
ASL interpreter booked in advance,"Human interpreter arranged ahead of the meeting, not requested during it.",,false,0,https://askjan.org/topics/costs.cfm
Noise-cancelling headset,Headset to reduce background noise in an open or loud environment.,250,false,0,https://askjan.org/topics/costs.cfm
One-handed keyboard,Keyboard usable with one hand.,,false,0,https://askjan.org/topics/costs.cfm
Screen reader software,Software that reads screen content aloud.,,false,0,https://askjan.org/topics/costs.cfm
Flexible or shifted start time,"Start and end times moved to fit treatment, transit or energy patterns.",0,true,0,https://askjan.org/topics/costs.cfm
Service animal permitted at work,Service animal allowed in the workplace.,0,true,0,https://askjan.org/topics/costs.cfm
Speech-to-text software,Software that types what you say so you do not have to use a keyboard.,,false,0,https://askjan.org/topics/costs.cfm
Alternative or ergonomic keyboard,A keyboard shaped or laid out to make typing easier or less painful.,,false,0,https://askjan.org/topics/costs.cfm
Modified or flexible work hours,"Start, finish or break at different times, so work fits treatment, transit or energy.",0,true,0,https://www.statcan.gc.ca/o1/en/plus/7142-more-canadians-disabilities-workforce-unmet-accommodation-needs-among-barriers-equity
Modified or different duties,Some tasks swapped or reassigned so the job fits what you can do well.,0,true,0,https://www.statcan.gc.ca/o1/en/plus/7142-more-canadians-disabilities-workforce-unmet-accommodation-needs-among-barriers-equity
Working from home,Work from home some days or all days instead of travelling in.,0,true,0,https://www.statcan.gc.ca/o1/en/plus/7142-more-canadians-disabilities-workforce-unmet-accommodation-needs-among-barriers-equity
Ergonomic workstation,Desk and screen set at a height and angle that suits your body.,,false,0,https://askjan.org/topics/costs.cfm
Special chair or back support,A chair or back support chosen for you rather than the standard office one.,,false,0,https://askjan.org/topics/costs.cfm
Extra breaks or rest time,"Short breaks when you need them, without asking each time.",0,true,0,https://askjan.org/topics/costs.cfm
Quiet space to work,Somewhere with less noise and fewer interruptions to do focused work.,0,true,0,https://askjan.org/topics/costs.cfm
Written instructions instead of spoken,"Tasks given in writing so nothing depends on catching it once, out loud.",0,true,0,https://askjan.org/topics/costs.cfm
Screen magnification software,Software that makes everything on screen larger and easier to read.,,false,0,https://askjan.org/topics/costs.cfm
Reduced or part-time hours,"Fewer hours, with pay and duties adjusted to match.",0,true,0,https://askjan.org/topics/costs.cfm
Adjustable or task lighting,"A desk lamp you control, so you are not working under whatever the ceiling gives you.",60,false,,https://askjan.org/solutions/Lighting.cfm
Anti-glare filter or screen dimming,"A filter or setting that takes the glare off a screen, which can make a long day possible.",40,false,,https://askjan.org/solutions/Anti-Glare-Filters.cfm
Move away from overhead fluorescent lighting,Sitting somewhere with softer or natural light instead. Usually just a change of desk.,0,true,,https://askjan.org/solutions/Lighting.cfm
Turn off fluorescent lights nearby,"Switching off or removing the tubes directly above you, if others nearby do not need them.",0,true,,https://askjan.org/solutions/Lighting.cfm
